english	thai	current_paiboon
according to law	ตามกฎหมาย	dtaam-gòt-măay
Asia	เอเชีย	ee-chia
Asia	เอเชีย	ee-chia
Asian	อาเชี่ยน	aa-chîan
Asian	อาเชี่ยน	aa-chîan
bar code	บาร์โค้ด	baa-kóot
biotechnology	ไบโอเทคโนโลยี	bai-o-tek-no-lo-yii
case of necessity	กรณีจำเป็น	go-ra-nii-jam-bpen
fill teeth	อุดฟัน	ut-fan
individual	รายบุคคล	raai-buk-kon
intravenous drug	ยาฉีด	yaa-chìid
motorcycle	รถจักรยานยนต์	rót-jak-ra-yan-yon
oral drug	ยากิน	yaa-gin
vanishing cream	ยาทา	yaa-taa
piercing	คมเข้ม	kom-kêm
single family	ครอบครัวเดี่ยว	krôop-krua-dìao
luxury	ความโก้หรู	kwaam-góo-ruu
implication	ความนัย	kwaam-nai
possibility	ความเป็นไป	kwaam-bpen-bpai
simplicity	ความเรียบง่าย	kwaam-riap-ngaay
importance	ความสำคัญ	kwaam-sam-khan
gentleness	ความสุภาพ	khwaam-su-phaap
warmth	ความอบอุ่น	kwaam-òp-ùn
warmth	ความอบอุ่น	khwaam-òp-ùn
answer	คำขานรับ	kam-khaan-rab
death tax	ภาษีมรดก	paa-sǐi-mon-dòk
income tax	ภาษีรายได้	paa-sǐi-raai-dai
Buddhist monk	ภิกขุ	pík-ku
female Buddhist monk	ภิกขุนี	pík-kù-nii
more and more	ภิญโญ	pín-yoo
wall	ภิตติ	pít-dtì
destroy	ภินท์	pín
dreadful	ภีม	píim
coral	ภุมรัตน์	púm-rat
bee	ภุมรา	pum-raa
bee	ภุมริน	pú-min
bee	ภุมรี	pum-rii
bee	ภุมเรศ	pum-rêet
Phuket	ภูเก็ต	pú-gèt
volcano	ภูเขาไฟ	puu-kao-fai
like a mountain	ภูเขาเลากา	puu-kao-lao-gaa
earth	ภูดล	puu-don
spirit	ภูต	púut
full word	คำเต็ม	kam-dtèm
obscene word	คำลามก	kam-laa-m
contempt	คำสบประมาท	kam-sòp-bpra-maat
financial budget	งบการเงิน	ngop-gaan-ngin
sculpture	งานประติมากรรม	ngaan-bpra-dtì-maa-gam
poetry	งานประพันธ์	ngaan-bpra-pan
graceful	งามสง่า	ngaam-sǔng-aa
good point	จุดดี	jùd-dii
rustic	ชาวชนบท	chao-chon-bòt
buy some time	ซื้อเวลา	súa-wee-laa
consequently	ด้วยเหตุฉะนี้	dûay-hèd-cha-nîi
ceaselessly	ดุ๊กดิ๊ก	dúk-díik
furiously	ดุเด็ดเผ็ดมัน	du-dèt-pèt-man
derail	ตกราง	dtòk-raang
author	คนเขียน	kon-kǐan
die en mass	ตายหมู่	dtaai-mùu
creator	ตำรับ	dtam-rup
text	ตำรับ	dtam-rup
interpret	ตีความหมาย	dtii-kwaam-maai
Automatic Teller Machine	ตู้เอทีเอ็ม	dtû-ee-dtii-èm
be of good quality	ทรงคุณภาพ	song-kun-phaap
gold ornament	ทองคำรูปพรรณ	tong-kam-rûup-pan
patient's record	ทะเบียนคนไข้	tha-bian-kon-kai
motor vehicle registration	ทะเบียนรถ	ta-bian-rót
route of descent	ทางลง	taang-long
secret passageway	ทางลับ	taang-lap
likewise	ทำนองเดียวกับ	tam-naong-diiao-gap
work team	ทีมงาน	tii-m-ngaan
every kind	ทุกชนิด	túk-cha-nít
everyone	ทุกราย	túk-raay
UHT-treated milk	นมยูเอชที	nom-yuu-ee-chii
count votes	นับคะแนน	nap-ka-naen
quite long	นานโข	naan-kǒo
some issues	บางประเด็น	baang-bpra-dèn
adhere to	ประจำใจ	bpra-jam-jai
cover one's eyes and ears	ปิดหูปิดตา	bpìd-hǔu-bpìd-dtaa
dream	ฝันใฝ่	fan-fai
discoverer	ผู้ค้นพบ	pûu-kón-pbop
guide	ผู้ชี้นำ	pûu-chíi-nam
destroyer	ผู้ทำลาย	pûu-tam-laai
instigator	ผู้บงการ	pûu-bong-gaan
inspirer	ผู้บันดาล	pûu-ban-daan
recorder	ผู้บันทึก	pûu-ban-túk
author	ผู้ประพันธ์	pûu-bpra-pan
bidder	ผู้ประมูล	pû-bpra-muun
mistaken person	ผู้ผิด	pûu-pìt
watcher	ผู้พบเห็น	pûu-póp-hèn
new-comer	ผู้มาใหม่	pûu-maa-mai
participant in a show	ผู้ร่วมรายการ	pûu-ruam-raa-gaan
reporter	ผู้รายงาน	pûu-raay-ngaan
witness	ผู้รู้เห็นเหตุการณ์	pûu-rúu-hèn-hèt-gaan
learner	ผู้เรียนรู้	pûu-rian-rúu
endorser	ผู้ลงนาม	pûu-long-naam
one who is unlucky	ผู้อาภัพ	pû-aa-pap
an honor person	ผู้ทรงเกียรติ	pûu-song-giat
Buddha's proverbs	พระพุทธภาษิต	pra-put-ta-paa-sit
sacrifice one's life	พลีชีพ	plii-chip
direct	พุ่งตรง	púng-dtrong
dart	พุ่งพรวด	púng-pruat
Buddhist moral code	พุทธธรรม	put-ta-tam
Buddhist philosophy	พุทธปรัชญา	put-ta-bprat-jaa
Buddhist diocese	พุทธมณฑล	put-ta-mon-don
Lord Buddha	พุทโธ	put-to
at heart	ภายในใจ	pai-nai-jai
motor-vehicle tax	ภาษีรถยนต์	paa-sǐi-rót-yon
contamination	มลภาวะ	mon-la-paa-wa
lower secondary school	มัธยมต้น	mat-ta-yom-dtôn
upper secondary school	มัธยมปลาย	mat-ta-yom-bplai
permanently	มั่นคงถาวร	man-kong-thaao-on
